DIAG_CD,DIAG_CD_DESC,DIAG_CD_FLAG
410.00,Coronary Artery Disease,CAD
410.00,Coronary Artery Disease,CAD
410.01,Coronary Artery Disease,CAD
410.02,Coronary Artery Disease,CAD
410.10,Coronary Artery Disease,CAD
410.11,Coronary Artery Disease,CAD
410.12,Coronary Artery Disease,CAD
410.20,Coronary Artery Disease,CAD
410.21,Coronary Artery Disease,CAD
410.22,Coronary Artery Disease,CAD
410.30,Coronary Artery Disease,CAD
410.31,Coronary Artery Disease,CAD
410.32,Coronary Artery Disease,CAD
410.40,Coronary Artery Disease,CAD
410.41,Coronary Artery Disease,CAD
410.42,Coronary Artery Disease,CAD
410.50,Coronary Artery Disease,CAD
410.51,Coronary Artery Disease,CAD
410.52,Coronary Artery Disease,CAD
410.60,Coronary Artery Disease,CAD
410.61,Coronary Artery Disease,CAD
410.62,Coronary Artery Disease,CAD
410.70,Coronary Artery Disease,CAD
410.71,Coronary Artery Disease,CAD
410.72,Coronary Artery Disease,CAD
410.80,Coronary Artery Disease,CAD
410.81,Coronary Artery Disease,CAD
410.82,Coronary Artery Disease,CAD
410.90,Coronary Artery Disease,CAD
410.91,Coronary Artery Disease,CAD
410.92,Coronary Artery Disease,CAD
411.00,Coronary Artery Disease,CAD
411.10,Coronary Artery Disease,CAD
411.81,Coronary Artery Disease,CAD
411.89,Coronary Artery Disease,CAD
412.00,Coronary Artery Disease,CAD
413.00,Coronary Artery Disease,CAD
413.00,Coronary Artery Disease,CAD
413.10,Coronary Artery Disease,CAD
413.90,Coronary Artery Disease,CAD
414.01,Coronary Artery Disease,CAD
414.02,Coronary Artery Disease,CAD
398.91,Heart Failure,HF
402.01,Heart Failure,HF
402.11,Heart Failure,HF
402.91,Heart Failure,HF
428.00,Heart Failure,HF
428.00,Heart Failure,HF
428.10,Heart Failure,HF
V42.20,Heart Failure,HF
428.20,Heart Failure,HF
428.21,Heart Failure,HF
428.22,Heart Failure,HF
428.23,Heart Failure,HF
428.30,Heart Failure,HF
428.30,Heart Failure,HF
428.31,Heart Failure,HF
428.32,Heart Failure,HF
428.33,Heart Failure,HF
428.40,Heart Failure,HF
428.40,Heart Failure,HF
428.41,Heart Failure,HF
428.42,Heart Failure,HF
428.43,Heart Failure,HF
428.90,Heart Failure,HF
250.00,Diabetes,DM
250.00,Diabetes,DM
250.01,Diabetes,DM
250.02,Diabetes,DM
250.03,Diabetes,DM
250.10,Diabetes,DM
250.11,Diabetes,DM
250.12,Diabetes,DM
250.13,Diabetes,DM
250.20,Diabetes,DM
250.21,Diabetes,DM
250.22,Diabetes,DM
250.23,Diabetes,DM
250.30,Diabetes,DM
250.31,Diabetes,DM
250.32,Diabetes,DM
250.33,Diabetes,DM
250.40,Diabetes,DM
250.41,Diabetes,DM
250.42,Diabetes,DM
250.43,Diabetes,DM
250.50,Diabetes,DM
250.51,Diabetes,DM
250.52,Diabetes,DM
250.53,Diabetes,DM
250.60,Diabetes,DM
250.61,Diabetes,DM
250.62,Diabetes,DM
250.63,Diabetes,DM
250.70,Diabetes,DM
250.71,Diabetes,DM
250.72,Diabetes,DM
250.73,Diabetes,DM
250.80,Diabetes,DM
250.81,Diabetes,DM
250.82,Diabetes,DM
250.83,Diabetes,DM
250.90,Diabetes,DM
250.91,Diabetes,DM
250.92,Diabetes,DM
250.93,Diabetes,DM
357.20,Diabetes,DM
362.00,Diabetes,DM
362.00,Diabetes,DM
362.01,Diabetes,DM
362.02,Diabetes,DM
362.03,Diabetes,DM
362.04,Diabetes,DM
362.05,Diabetes,DM
362.06,Diabetes,DM
362.07,Diabetes,DM
366.41,Diabetes,DM
648.00,Diabetes,DM
648.00,Diabetes,DM
648.01,Diabetes,DM
648.02,Diabetes,DM
648.03,Diabetes,DM
648.04,Diabetes,DM
585.00,Chronic Kidney Disease,CKD
404.01,Chronic Kidney Disease,CKD
404.03,Chronic Kidney Disease,CKD
404.11,Chronic Kidney Disease,CKD
404.13,Chronic Kidney Disease,CKD
404.91,Chronic Kidney Disease,CKD
404.93,Chronic Kidney Disease,CKD
493.00,Asthma,ASTH
493.00,Asthma,ASTH
493.01,Asthma,ASTH
493.02,Asthma,ASTH
493.10,Asthma,ASTH
493.11,Asthma,ASTH
493.12,Asthma,ASTH
493.20,Asthma,ASTH
493.21,Asthma,ASTH
493.22,Asthma,ASTH
493.80,Asthma,ASTH
493.90,Asthma,ASTH
493.91,Asthma,ASTH
493.92,Asthma,ASTH
491.00,Chronic obstructive lung Disease,COPD
491.00,Chronic obstructive lung Disease,COPD
491.10,Chronic obstructive lung Disease,COPD
491.20,Chronic obstructive lung Disease,COPD
491.20,Chronic obstructive lung Disease,COPD
491.21,Chronic obstructive lung Disease,COPD
491.22,Chronic obstructive lung Disease,COPD
491.80,Chronic obstructive lung Disease,COPD
491.90,Chronic obstructive lung Disease,COPD
492.00,Chronic obstructive lung Disease,COPD
492.00,Chronic obstructive lung Disease,COPD
492.80,Chronic obstructive lung Disease,COPD
496.00,Chronic obstructive lung Disease,COPD
272.00,Hyperlipidemia- lipid disorder,LD
272.00,Hyperlipidemia- lipid disorder,LD
272.10,Hyperlipidemia- lipid disorder,LD
272.20,Hyperlipidemia- lipid disorder,LD
272.30,Hyperlipidemia- lipid disorder,LD
272.40,Hyperlipidemia- lipid disorder,LD
272.50,Hyperlipidemia- lipid disorder,LD
272.60,Hyperlipidemia- lipid disorder,LD
272.70,Hyperlipidemia- lipid disorder,LD
